id,conversation_id,role,participantable_id,participantable_type,exited_at,last_active_at,conversation_cleared_at,conversation_deleted_at,conversation_read_at,deleted_at,created_at,updated_at
55,28,owner,1,App\Models\User,,,,,,,2025-12-20 14:09:37,2025-12-20 14:09:37
56,28,owner,673586,App\Models\Customer,,,,,,,2025-12-20 14:09:37,2025-12-20 14:09:37
57,29,owner,1,App\Models\User,,,,,,,2025-12-20 14:26:54,2025-12-20 14:26:54
58,29,owner,673587,App\Models\Customer,,,,,,,2025-12-20 14:26:54,2025-12-20 14:26:54
59,30,owner,1,App\Models\User,,,,,,,2025-12-20 14:37:28,2025-12-20 14:37:28
60,30,owner,673183,App\Models\Customer,,,,,,,2025-12-20 14:37:28,2025-12-20 14:37:28
61,31,owner,1,App\Models\User,,,,,,,2025-12-20 14:42:27,2025-12-20 14:42:27
62,31,owner,673588,App\Models\Customer,,,,,,,2025-12-20 14:42:27,2025-12-20 14:42:27
63,32,owner,1,App\Models\User,,,,,,,2025-12-20 16:49:59,2025-12-20 16:49:59
64,32,owner,660938,App\Models\Customer,,,,,,,2025-12-20 16:49:59,2025-12-20 16:49:59
65,33,owner,1,App\Models\User,,,,,,,2025-12-20 17:18:27,2025-12-20 17:18:27
66,33,owner,673585,App\Models\Customer,,,,,,,2025-12-20 17:18:27,2025-12-20 17:18:27
67,34,owner,1,App\Models\User,,,,,,,2025-12-20 18:04:05,2025-12-20 18:04:05
68,34,owner,673589,App\Models\Customer,,,,,,,2025-12-20 18:04:05,2025-12-20 18:04:05
69,35,owner,1,App\Models\User,,,,,,,2025-12-20 19:29:40,2025-12-20 19:29:40
70,35,owner,673592,App\Models\Customer,,,,,,,2025-12-20 19:29:40,2025-12-20 19:29:40
71,36,owner,1,App\Models\User,,,,,,,2025-12-20 19:52:06,2025-12-20 19:52:06
72,36,owner,673593,App\Models\Customer,,,,,,,2025-12-20 19:52:06,2025-12-20 19:52:06
73,37,owner,1,App\Models\User,,,,,,,2025-12-20 20:25:39,2025-12-20 20:25:39
74,37,owner,530192,App\Models\Customer,,,,,,,2025-12-20 20:25:39,2025-12-20 20:25:39
75,38,owner,1,App\Models\User,,,,,,,2025-12-21 02:26:42,2025-12-21 02:26:42
76,38,owner,128253,App\Models\Customer,,,,,,,2025-12-21 02:26:42,2025-12-21 02:26:42
77,39,owner,1,App\Models\User,,,,,,,2025-12-21 07:07:43,2025-12-21 07:07:43
78,39,owner,673597,App\Models\Customer,,,,,,,2025-12-21 07:07:43,2025-12-21 07:07:43
79,40,owner,1,App\Models\User,,,,,,,2025-12-21 07:07:43,2025-12-21 07:07:43
80,40,owner,673597,App\Models\Customer,,,,,,,2025-12-21 07:07:43,2025-12-21 07:07:43
81,41,owner,1,App\Models\User,,,,,,,2025-12-21 08:04:28,2025-12-21 08:04:28
82,41,owner,673581,App\Models\Customer,,,,,,,2025-12-21 08:04:28,2025-12-21 08:04:28
83,42,owner,1,App\Models\User,,,,,,,2025-12-21 08:06:09,2025-12-21 08:06:09
84,42,owner,673598,App\Models\Customer,,,,,,,2025-12-21 08:06:09,2025-12-21 08:06:09
85,43,owner,1,App\Models\User,,,,,,,2025-12-21 10:23:08,2025-12-21 10:23:08
86,43,owner,649266,App\Models\Customer,,,,,,,2025-12-21 10:23:08,2025-12-21 10:23:08
87,44,owner,1,App\Models\User,,,,,,,2025-12-21 12:10:40,2025-12-21 12:10:40
88,44,owner,673602,App\Models\Customer,,,,,,,2025-12-21 12:10:40,2025-12-21 12:10:40
89,45,owner,1,App\Models\User,,,,,,,2025-12-21 12:14:52,2025-12-21 12:14:52
90,45,owner,673603,App\Models\Customer,,,,,,,2025-12-21 12:14:52,2025-12-21 12:14:52
91,46,owner,1,App\Models\User,,,,,,,2025-12-21 13:05:19,2025-12-21 13:05:19
92,46,owner,673604,App\Models\Customer,,,,,,,2025-12-21 13:05:19,2025-12-21 13:05:19
93,47,owner,1,App\Models\User,,,,,,,2025-12-21 13:42:20,2025-12-21 13:42:20
94,47,owner,673605,App\Models\Customer,,,,,,,2025-12-21 13:42:20,2025-12-21 13:42:20
95,48,owner,1,App\Models\User,,,,,,,2025-12-21 13:47:13,2025-12-21 13:47:13
96,48,owner,673606,App\Models\Customer,,,,,,,2025-12-21 13:47:13,2025-12-21 13:47:13
97,49,owner,1,App\Models\User,,,,,,,2025-12-21 14:21:18,2025-12-21 14:21:18
98,49,owner,673607,App\Models\Customer,,,,,,,2025-12-21 14:21:18,2025-12-21 14:21:18
99,50,owner,1,App\Models\User,,,,,,,2025-12-21 15:02:38,2025-12-21 15:02:38
