REFERENCIA,PRODUCTO,Costo,COLOMBIA,AMERICA,,,ESTADOS UNIDOS,,,,EUROPA EN DOLARES,,,EUROPA -OCEANIA PRECIO EUROS,,,CHILE,,
REFERENCIA,PRODUCTO,Costo,PRECIO CON IVA,AMERICA  PRECIO  EN DOLARES SIN FLET,FLETE,PRECIO TOTAL EN DOLARES,AMERICA  PRECIO  EN DOLARES SIN FLET,FLETE,ARANCEL,PRECIO TOTAL EN DOLARES,PRECIO EN DOLARES,FLETES,PRECIO EN DOLARES EUROPA,PRECIO EN EUROS CONTINENTE EUROPEO SIN ENVIO,FLETE INERNACIONAL  EUROPA Y OCEANIA,PRECIO EN EUROS  CONTINENTE EUROPEO  CON FLETE ,CHILE  PRECIO  EN DOLARES SIN FLET,PRECIO FLETE,PRECIO TOTAL EN DOLARES
,PELAPAPAS,, $ 5.200.000 , $ 1.390 , $ 650 , $ 2.040 , $ 1.390 , $ 650 , $ 204 , $ 2.244 , $ 1.390 , $ 850 , $ 2.240 , $ 1.251 ,765,2016,,,
CE02-N,LAMINADORA, $ 4.937.408 , $ 5.924.890 , $ 1.584 , $ 550 , $ 2.134 , $ 1.584 , $ 550 , $ 214 , $ 2.348 , $ 1.584 , $ 766 , $ 2.350 , $ 1.426 ,689,2115, $ 1.584 , $ 800 , $ 2.384 
CE04CV-N,LAMINADORA VARIADOR, $ 8.668.000 , $ 10.401.600 , $ 2.781 , $ 750 , $ 3.531 , $ 2.781 , $ 750 , $ 353 , $ 3.884 , $ 2.781 , $ 827 , $ 3.608 , $ 2.503 ,744,3247, $ 2.781 , $ 1.000 , $ 3.781 
,MANO DE OBRA MANTENIMIENTO HORA, $ 28.890 ,, $ -   , $ -   , $ -   , $ -   ,, $ -   , $ -   , $ -   , $ -   , $ -   , $ -   ,689,689, $ -   , $ -   , $ -   
,MANTENIMIENTO, Previa lista,, $ -   , $ -   , $ -   , $ -   ,, $ -   , $ -   , $ -   , $ -   , $ -   , $ -   ,689,689, $ -   , $ -   , $ -   
,MANTENIMIENTO Y ACTUALIZACION, Previa lista,, $ -   , $ -   , $ -   , $ -   ,, $ -   , $ -   , $ -   , $ -   , $ -   , $ -   ,689,689, $ -   , $ -   , $ -   
MESA,MESAS, $ 1.316.100 , $ 1.579.320 , $ 411 , $ 750 , $ 1.161 , $ 411 , $ 750 , $ 116 , $ 1.277 , $ 411 , $ 1.705 , $ 2.116 , $ 370 ,689,1060, $ 411 , $ 750 , $ 1.161 
MEZCLADORA,MEZCLADORA CON VARIADOR, $ 10.734.454 , $ 12.881.345 , $ 3.444 , $ 1.400 , $ 4.844 , $ 3.445 , $ 1.400 , $ 484 , $ 5.329 , $ 3.444 , $ 1.218 , $ 4.662 , $ 3.100 ,1096,4196, $ 3.444 , $ 1.850 , $ 5.294 
DESMECHADORA DESMECHADORA-E,DESMECHADORA, $ 577.500 , $ 797.000 , $ 213 , $ 75 , $ 288 , $ 213 , $ 75 , $ 33 , $ 321 , $ 213 , $ 85 , $ 298 , $ 192 ,77,268, $ 213 , $ 75 , $ 288 
TICALOID_1023,GOMA 1 KILO, $ 92.585 , $ 125.100 , $ 33 , $ 50 , $ 83 , $ 33 , $ 50 , $ 8 , $ 91 , $ 33 , $ 121 , $ 154 , $ 29 ,1080,1109, $ 33 , $ 50 , $ 83 
PROTCM06BEX- PROTCM06EX,GORROS DE REPUESTO, $ 14.000 , $ 40.660 , $ 11 , $ 50 , $ 61 , $ 11 , $ 50 , $ 6 , $ 67 , $ 11 , $ 44 , $ 54 , $ 10 ,1080,1090, $ 11 , $ 50 , $ 61 
JUEGOHAT,JUEGO DE MOLDE HARINA DE TRIGO 6 MOLDES Y 4 ARGOLLAS 10-14 CMS, $ 946.773 , $ 1.306.600 , $ 349 , $ 50 , $ 399 , $ 349 , $ 50 , $ 40 , $ 439 , $ 349 , $ 65 , $ 414 , $ 314 ,59,373, $ 349 , $ 50 , $ 399 
JUEGOHAT- NACIONAL   JUEG_MOLD- INTERNACIO,JUEGO DE MOLDE HARINA DE TRIGO RECTANGULAR O TRIANGULAR 1 ARGOLLA 9 CM O MENOS, $ 1.274.584 , $ 1.529.501 , $ 409 , $ 50 , $ 459 , $ 409 , $ 50 , $ 46 , $ 505 , $ 409 , $ 65 , $ 474 , $ 368 ,59,427, $ 409 , $ 50 , $ 459 
JUEGOHAT- NACIONAL   JUEG_MOLD- INTERNACIO,JUEGO DE MOLDE HARINA DE TRIGO TRADICIONAL SIN ARGOLLA , $ 483.640 , $ 1.100.000 , $ 349 , $ 50 , $ 399 , $ 349 , $ 50 , $ 40 , $ 439 , $ 349 , $ 65 , $ 414 , $ 314 ,59,373, $ 349 , $ 50 , $ 399 
JUEGOHAT- NACIONAL   JUEG_MOLD- INTERNACIO,JUEGO DE MOLDES HARINA DE TRIGO 12 MOLDES 1 ARGOLLA 9 CM O MENOS, $ 1.234.673 , $ 1.481.608 , $ 396 , $ 50 , $ 446 , $ 396 , $ 50 , $ 45 , $ 491 , $ 396 , $ 65 , $ 461 , $ 357 ,59,415, $ 396 , $ 50 , $ 446 
JUEGOMOLDES -NACIONA AREPA_E-INTERNACIONA,KIT AREPA RELLENA Y PAPA, $ 560.680 , $ 773.500 , $ 207 , $ 50 , $ 257 , $ 207 , $ 50 , $ 33 , $ 290 , $ 207 , $ 65 , $ 272 , $ 186 ,59,245, $ 207 , $ 50 , $ 257 
,KIT DE REPUESTOS CM05, $ -   ,, $ -   , $ -   , $ -   , $ -   ,, $ -   , $ -   , $ -   , $ -   , $ -   , $ -   ,1080,1080, $ -   , $ -   , $ -   
,KIT DE REPUESTOS CM06 - CM06B - CM08, $ -   ,, $ -   , $ -   , $ -   , $ -   ,, $ -   , $ -   , $ -   , $ -   , $ -   , $ -   ,1080,1080, $ -   , $ -   , $ -   
,KIT DE REPUESTOS CM07,,, $ -   , $ -   , $ -   , $ -   ,, $ -   , $ -   , $ -   , $ -   , $ -   , $ -   ,1080,1080, $ -   , $ -   , $ -   
MOLDES- NACIONAL                            MOLDS-INTERNACIONA,MOLDE DE MAIZ Y KIT AREPA TELA, $ 288.900 , $ 398.650 , $ 107 , $ 90 , $ 197 , $ 107 , $ 90 , $ 26 , $ 223 , $ 107 , $ 65 , $ 172 , $ 96 ,59,154, $ 107 , $ 90 , $ 197 
MOLDE.HARI,MOLDE DE TRIGO SOLO PARA TRIGO, $ 167.990 , $ 201.588 , $ 54 , $ 90 , $ 144 , $ 54 , $ 90 , $ 14 , $ 158 , $ 54 , $ 65 , $ 119 , $ 49 ,59,107, $ 54 , $ 90 , $ 144 
