profile,shortcode,visible_views,url,source
ferrero_machines,DWbtjwUuC5U,"1,574",https://www.instagram.com/ferrero_machines/reel/DWbtjwUuC5U/,instagram_reels_grid_chrome
ferrero_machines,DWXS5fND9TS,"3,559",https://www.instagram.com/ferrero_machines/reel/DWXS5fND9TS/,instagram_reels_grid_chrome
ferrero_machines,DWSUlshlL5Q,"1,442",https://www.instagram.com/ferrero_machines/reel/DWSUlshlL5Q/,instagram_reels_grid_chrome
ferrero_machines,DWC0rdkNqGz,"3,080",https://www.instagram.com/ferrero_machines/reel/DWC0rdkNqGz/,instagram_reels_grid_chrome
ferrero_machines,DV90aDQDNpw,"5,092",https://www.instagram.com/ferrero_machines/reel/DV90aDQDNpw/,instagram_reels_grid_chrome
ferrero_machines,DVwO4OQlJ5b,"5,298",https://www.instagram.com/ferrero_machines/reel/DVwO4OQlJ5b/,instagram_reels_grid_chrome
ferrero_machines,DVZmobYDhcY,"1,851",https://www.instagram.com/ferrero_machines/reel/DVZmobYDhcY/,instagram_reels_grid_chrome
ferrero_machines,DVPEdlFgpqB,"3,263",https://www.instagram.com/ferrero_machines/reel/DVPEdlFgpqB/,instagram_reels_grid_chrome
ferrero_machines,DVKLBqhgDlT,"2,010",https://www.instagram.com/ferrero_machines/reel/DVKLBqhgDlT/,instagram_reels_grid_chrome
ferrero_machines,DU1dXwNCcK0,"2,305",https://www.instagram.com/ferrero_machines/reel/DU1dXwNCcK0/,instagram_reels_grid_chrome
ferrero_machines,DUwcmCNkfN2,"4,691",https://www.instagram.com/ferrero_machines/reel/DUwcmCNkfN2/,instagram_reels_grid_chrome
ferrero_machines,DUt_KfegUob,"2,942",https://www.instagram.com/ferrero_machines/reel/DUt_KfegUob/,instagram_reels_grid_chrome
ferrero_machines,DUmUH0Mkr0d,"7,108",https://www.instagram.com/ferrero_machines/reel/DUmUH0Mkr0d/,instagram_reels_grid_chrome
ferrero_machines,DUUMnwyE3ZM,"2,157",https://www.instagram.com/ferrero_machines/reel/DUUMnwyE3ZM/,instagram_reels_grid_chrome
ferrero_machines,DT6U8d1klsM,"7,939",https://www.instagram.com/ferrero_machines/reel/DT6U8d1klsM/,instagram_reels_grid_chrome
ferrero_machines,DT0MghRlXLM,"1,695",https://www.instagram.com/ferrero_machines/reel/DT0MghRlXLM/,instagram_reels_grid_chrome
emaq_industrial,DR0CztED_EK,"1,429",https://www.instagram.com/emaq_industrial/reel/DR0CztED_EK/,instagram_reels_grid_chrome
emaq_industrial,DC4ffCXxDHE,19.5K,https://www.instagram.com/emaq_industrial/reel/DC4ffCXxDHE/,instagram_reels_grid_chrome
emaq_industrial,C-LqU0jpLHp,"3,775",https://www.instagram.com/emaq_industrial/reel/C-LqU0jpLHp/,instagram_reels_grid_chrome
emaq_industrial,C90qDKDJ-_C,12.3K,https://www.instagram.com/emaq_industrial/reel/C90qDKDJ-_C/,instagram_reels_grid_chrome
emaq_industrial,C8Ut83mpEf6,16.5K,https://www.instagram.com/emaq_industrial/reel/C8Ut83mpEf6/,instagram_reels_grid_chrome
emaq_industrial,C8RwfUkuiAz,27.4K,https://www.instagram.com/emaq_industrial/reel/C8RwfUkuiAz/,instagram_reels_grid_chrome
emaq_industrial,C7ZK-gOuo5H,"8,453",https://www.instagram.com/emaq_industrial/reel/C7ZK-gOuo5H/,instagram_reels_grid_chrome
emaq_industrial,C7XufLupUTg,"4,183",https://www.instagram.com/emaq_industrial/reel/C7XufLupUTg/,instagram_reels_grid_chrome
emaq_industrial,C7FFRNCJqEn,55K,https://www.instagram.com/emaq_industrial/reel/C7FFRNCJqEn/,instagram_reels_grid_chrome
emaq_industrial,C6tyJlJOLrO,"1,119",https://www.instagram.com/emaq_industrial/reel/C6tyJlJOLrO/,instagram_reels_grid_chrome
emaq_industrial,C6ePruHOvro,"1,343",https://www.instagram.com/emaq_industrial/reel/C6ePruHOvro/,instagram_reels_grid_chrome
emaq_industrial,C6Wi9FGOSGL,72.4K,https://www.instagram.com/emaq_industrial/reel/C6Wi9FGOSGL/,instagram_reels_grid_chrome
emaq_industrial,C6MJDUtuR8C,"3,296",https://www.instagram.com/emaq_industrial/reel/C6MJDUtuR8C/,instagram_reels_grid_chrome
emaq_industrial,C5a64riOosM,26K,https://www.instagram.com/emaq_industrial/reel/C5a64riOosM/,instagram_reels_grid_chrome
